,Applicant_Id,Job_Roles,Percentage,text
0,0,Test Engineer,85.0,B.SC Computer Science AI;ML;Python;Java;SQL;Oracle;Programming;Tableau;Designing Skills Animation; Software Presentation Skills;Critical Thinking
1,1,Data Warehouse Analyst,66.5,"B.E Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Entrepreneurship;Cloud computing Leadership;Gathering Informing"
2,3,Stock Broker,75.52,"B.B.A Finance Financial Models,Variance Analysis,Customer Service,Financial Performance,Data Analysis,Pivot Tables,Ad-Hoc Analysis,SQL, General Ledger Accounts,ERP Financial Analysis;Blockchain Interpersonal Skills;Gathering Informing"
3,4,Appian Developer,70.68,"B.TECH Information Technology C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Presentation Skills;Analytic Thinking;Crossfunctional Team Leadership"
4,5,Data Anlyst,73.15,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Problem Solving skills;Negotiation Skills"
5,7,QA Engineer,74.1,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Leadership;Communication Skills"
6,8,Data Warehouse Analyst,69.35,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Logical Skills;People Management"
7,11,Mechanical Engineer,71.44,"B.E Automobile Engineering Engineering Design,CAD, Engineering Drawings,Product Design,Electrical Systems,R,CAE(autocad/catia/ansys/proE/SeimensNX) Logistics; Embedded Design Interpersonal Skills;Critical Thinking"
8,12,Business Development Executive,59.0,"B.B.A Marketing Company Website development,Product Development,Market Research,Networking,SEO,Email Campaigns,MS-Office,Sales Process,Analytics,Business Development Sales/Marketing Work under Pressure;Negotiation Skills;Leadership"
9,15,Software Developer,69.35,"B.E Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Entrepreneurship;Cloud computing Wealth Management;Critical Thinking"
10,17,Industrialization Engineer,71.25,"B.E Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Animation;Research;Designing; Problem Solving Skills;Critical Thinking"
11,18,Technical Director,81.7,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Interpersonal Skills;Critical Thinking"
12,19,MatLab Engineer,74.33,"B.E Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Animation;Research;Designing; Building Rapport;Gathering Informing"
13,20,Industrialization Engineer,92.0,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Wealth Management;Active Listening"
14,22,Project Engineer,73.15,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Risk Managing;Gathering Informing"
15,23,Auditor ,80.0,"B.COM Accounting and Finance General Ledger Accounts,Financial Statements,Gaap,Payroll,CPA, Balance Sheet,Internal Audit,Financial Transactions, Real Estate Financial Analysis;Logistics Presentation Skills;Communication Skills"
16,25,Mobile App Developer,69.0,"B.C.A Programming Languages C++;Python;SQL;Java;DBMS,System design,Networking;HTML,XHTML,PHP,JAVA Script ASP. net  Software;Web Designing;Animation Observation Skills;Gathering Informing"
17,26,Civil Engineer,74.95,"B.TECH Civil Engineering Revit, Structural Analysis, BIM,Navisworks,Engineering Design,Engineering Drawings,Tekla,AUTOCAD, Solidworks,Civil 3D Designing;Construction;Interior Design News Gathering;People Management"
18,27,Quality Analyst,73.15,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Leadership;Gathering Informing"
19,28,Banker ,73.62,"B.B.A Finance Financial Models,Variance Analysis,Customer Service,Financial Performance,Data Analysis,Pivot Tables,Ad-Hoc Analysis,SQL, General Ledger Accounts,ERP Financial Analysis;Blockchain Logical Skills;Critical Thinking"
20,29,Robotics Engineer,84.55,"B.E Automobile Engineering Engineering Design,CAD, Engineering Drawings,Product Design,Electrical Systems,R,CAE(autocad/catia/ansys/proE/SeimensNX) Logistics; Embedded Design Team work;Active Listening"
21,30,Electronics Test Engineer,81.79,"B.E Electronics and Communication Engineering C/C++,Java,MatLab,CAD,Control Sytems,Data structures,VLSI,PLC,Engineering Design,HDL,Digital signal processing,Networking Cyber Security;Information Technology;Blockchain Work under Pressure;Critical Thinking"
22,31,Software Developer,75.05,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Wealth Management;Negotiation Skills"
23,32,Control Systems Engineer,66.5,"B.E Electronics and Communication Engineering C/C++,Java,MatLab,CAD,Control Sytems,Data structures,VLSI,PLC,Engineering Design,HDL,Digital signal processing,Networking Cyber Security;Information Technology;Blockchain Logical Skills;Communication Skills"
24,33,Tele Sales Associate,55.0,"B.COM Marketing Company Website development,Product Development,Market Research,Networking,SEO,Email Campaigns,MS-Office,Sales Process,Analytics,Business Development Entrepreneurship;Financial Analysis Team work;Critical Thinking"
25,35,Test Engineer,76.0,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Risk Managing;People Management"
26,36,Systems Architect,76.47,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Building Rapport;Gathering Informing"
27,37,Project Engineer,63.0,"B.E Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Animation;Research;Designing; Logical Skills;Communication Skills"
28,39,Drug inspector,72.0,B.Pharmacy Pharmacy Life sciences; Pharmacovigilance;pharmacology; GMP; Pharmaceutics; Drug Discovery; Clinical Trials; Pharmacokinetics; Clinical Research; High-Performance Liquid Chromatography (HPLC); GCP;GLP; Research Risk Managing;Negotiation Skills
29,41,Interior Design Specialist,74.0,B.SC Interior design Business Knowledge;Product Knowledge;Sales Content Creation Presentation Skills;Negotiation Skills
30,42,HR Services,57.0,"B.COM Business Administration Business Development,Sales Process,Customer Service,CRM,Client Relationships,Cloud,Territory strategies,Account Management, Market Research,Value Proposition Social Media Marketing;Sales/Marketing Logical Skills;Gathering Informing"
31,43,Computer Systems Analyst,65.55,"B.TECH Information Technology C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Observation Skills;People Management"
32,46,Performance Engineer,76.0,"B.E Automobile Engineering Engineering Design,CAD, Engineering Drawings,Product Design,Electrical Systems,R,CAE(autocad/catia/ansys/proE/SeimensNX) Logistics; Embedded Design Wealth Management;People Management"
33,47,Network Planning Engineer,74.67,"B.TECH Electrical and Electronics Engineering Revit,Electrical Systems, Electrical Design,Construction Documents,Autocad,UL,Engineering Drawings,Schematics,Engineering Design,Navisworks,Electrical Drawings,PLC,Line Diagrams Blockchain ;Software;Information Technology Risk Managing;Negotiation Skills"
34,48,Communication Engineer,74.1,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Team work;Critical Thinking"
35,49,Quality Analyst,88.35,"B.E Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Animation;Research;Designing; Leadership;Active Listening"
36,50,PHP Developer,73.15,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Leadership;Analytic Thinking"
37,52,Stock Broker,63.0,"B.COM Accounting and Finance General Ledger Accounts,Financial Statements,Gaap,Payroll,CPA, Balance Sheet,Internal Audit,Financial Transactions, Real Estate Financial Analysis;Logistics Problem Solving skills;People Management"
38,54,Quality Engineer,74.1,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Team work;Accounting Skills"
39,55,Manufacturing Engineer,87.0,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Logical Skills;Communication Skills"
40,57,JIRA Admin,69.0,"B.TECH Computer Science Engineering C/C++,Python,SQL,R,Tableau,Python,Big Data,ETL,Cloud,Scala,Java,Data,Analysis,Redshift,Data Pipeline,AWS,GC,Azure,Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP Blockchain ;Software;Information Technology Observation Skills;Communication Skills"
41,59,Banker ,60.0,"B.COM Accounting and Finance General Ledger Accounts,Financial Statements,Gaap,Payroll,CPA, Balance Sheet,Internal Audit,Financial Transactions, Real Estate Financial Analysis;Logistics Interpersonal Skills;Active Listening"
42,60,Desktop Support Engineer,72.0,"B.E Electronics and Communication Engineering C/C++,Java,MatLab,CAD,Control Sytems,Data structures,VLSI,PLC,Engineering Design,HDL,Digital signal processing,Networking Cyber Security;Information Technology;Blockchain Risk Managing;People Management"
43,61,Service advisor,60.8,"B.TECH Mechanical Engineering Engineering Design,Product Design,Electrical Systems,R,;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX),STAAD PRO;ETABS Interior Design;Designing;Animation Problem Solving skills;Communication Skills"
44,62,Structural Engineer,70.0,"B.TECH Civil Engineering Revit, Structural Analysis, BIM,Navisworks,Engineering Design,Engineering Drawings,Tekla,AUTOCAD, Solidworks,Civil 3D Designing;Construction;Interior Design Interpersonal Skills;Communication Skills"
45,63,Export-import Manager,83.03,"B.COM Accounting and Finance General Ledger Accounts,Financial Statements,Gaap,Payroll,CPA, Balance Sheet,Internal Audit,Financial Transactions, Real Estate Financial Analysis;Logistics Problem Solving skills;People Management"
